input,decision
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I am a student from Hyderabad and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I am a student from Bangalore and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I have cleared prelims of SSC CGL once. Now I am fully focused on government exams because private jobs feel unstable.,Government Exam Path
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
"I am a student from Bangalore and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I want to do MTech from IIT Kanpur because I love my branch. I am a student from Nagpur and ready to take education loan if needed.,Higher Studies First
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I want to do MTech from IIT Kanpur because I love my branch. I am a student from Bangalore and ready to take education loan if needed.,Higher Studies First
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I want to do MTech from IIT Kanpur because I love my branch. I am ready to take education loan if needed.,Higher Studies First
I want to do MTech from IIT Kanpur because I love my branch. I am ready to take education loan if needed.,Higher Studies First
I want to do MTech from IIT Kanpur because I love my branch. I am ready to take education loan if needed.,Higher Studies First
I have cleared prelims of SSC CGL once. Now I am a student from Thane and fully focused on government exams because private jobs feel unstable.,Government Exam Path
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I have cleared prelims of SSC CGL once. Now I am a student from Mumbai and fully focused on government exams because private jobs feel unstable.,Government Exam Path
I am in final year from PICT in Nagpur. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
I want to do MTech from IIT Madras because I love my branch. I am a student from Delhi and ready to take education loan if needed.,Higher Studies First
I am a student from Hyderabad and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I am a student from Pune and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
I am a student from Chennai and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I am a student from Pune and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I am a student from Delhi and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I want to do MTech from IIT Kanpur because I love my branch. I am ready to take education loan if needed.,Higher Studies First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I want to do MTech from IIT Madras because I love my branch. I am ready to take education loan if needed.,Higher Studies First
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
I want to do MTech from IIT Delhi because I love my branch. I am a student from Aurangabad and ready to take education loan if needed.,Higher Studies First
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I have cleared prelims of SSC CGL once. Now I am fully focused on government exams because private jobs feel unstable.,Government Exam Path
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
I want to do MTech from IIT Bombay because I love my branch. I am a student from Bangalore and ready to take education loan if needed.,Higher Studies First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I want to do MTech from IIT Kanpur because I love my branch. I am a student from Nagpur and ready to take education loan if needed.,Higher Studies First
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I am a student from Thane and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I am in 4th year from Pune University in Thane. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
I have cleared prelims of SSC CGL once. Now I am a student from Bangalore and fully focused on government exams because private jobs feel unstable.,Government Exam Path
Family believes only banking or railway job is good. I am a student from Mumbai and preparing for it full time.,Government Exam Path
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
Family believes only banking or railway job is good. I am a student from Hyderabad and preparing for it full time.,Government Exam Path
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
"I am a student from Pune and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I got a job in TCS but I also want to prepare for CAT. I will join the job and study side by side.,Balanced Job + Study Plan
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I am a student from Bangalore and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
I am in just graduated from MIT WPU in Bangalore. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
I want to do MTech from IIT Madras because I love my branch. I am a student from Nagpur and ready to take education loan if needed.,Higher Studies First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
I want to do MTech from IIT Bombay because I love my branch. I am ready to take education loan if needed.,Higher Studies First
I am a student from Thane and in last semester from SPIT in Thane. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I am a student from Pune and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
I am in just graduated from COEP in Bangalore. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I am suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
I have cleared prelims of SSC CGL once. Now I am fully focused on government exams because private jobs feel unstable.,Government Exam Path
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
"I am a student from Nashik and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
I have cleared prelims of SSC CGL once. Now I am a student from Delhi and fully focused on government exams because private jobs feel unstable.,Government Exam Path
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
I keep changing my mind every week. Don't know whether to follow parents or my own interest.,Career Guidance Needed
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"I am completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I have cleared prelims of SSC CGL once. Now I am fully focused on government exams because private jobs feel unstable.,Government Exam Path
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I got admission in MBA at IIM Ahmedabad but family is not very stable. Still I strongly believe investing in higher studies now will give me much better future.,Higher Studies First
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
I am a student from Delhi and suffering from severe anxiety and burnout. Constant pressure has broken me mentally.,Emotional Counseling Needed
"I am a student from Pune and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
Financial crisis at home is very bad. I was planning MS abroad but now I have to drop it and focus on placements.,Job First (Financial Stability)
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
I have cleared prelims of SSC CGL once. Now I am a student from Hyderabad and fully focused on government exams because private jobs feel unstable.,Government Exam Path
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
Family believes only banking or railway job is good. I am preparing for it full time.,Government Exam Path
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
Too many options and I don't know what suits me best. I need proper career guidance.,Career Guidance Needed
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
After my breakup I have lost all motivation. I can't study or prepare for anything. I need emotional support badly.,Emotional Counseling Needed
"I am a student from Delhi and completely confused between job, MBA, government exams and startup. I have no clear direction.",Career Guidance Needed
I have zero internships and my resume is blank. I should improve practical knowledge before thinking about placements or higher studies.,Skill Development First
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"I cleared GRE and have offer for MS in USA from good university. Even though expensive, I think it's worth it for long term career growth.",Higher Studies First
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
"My family is facing heavy loan and my mother is not well. As the only son, I think job first is the only responsible choice.",Job First (Financial Stability)
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
I plan to work for 2 years and then do MBA so I can have both experience and higher qualification.,Balanced Job + Study Plan
I will help in family business part time and continue my MCA studies together.,Balanced Job + Study Plan
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I am a student from Delhi and in just graduated from Amity in Chennai. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
My parents are forcing me to prepare for UPSC/MPSC. They say government job is the only safe option with respect and pension.,Government Exam Path
My coding and technical skills are very weak. I failed in 5-6 interviews. I need to focus only on building projects and skills for next 6-8 months.,Skill Development First
I want to do MTech from IIT Kanpur because I love my branch. I am a student from Pune and ready to take education loan if needed.,Higher Studies First
I have cleared prelims of SSC CGL once. Now I am a student from Nagpur and fully focused on government exams because private jobs feel unstable.,Government Exam Path
"After my dad's business failed, all responsibility came on me. Hospital bills are also there. I can't think about further studies right now, need a job first.",Job First (Financial Stability)
I want to do MTech from IIT Bombay because I love my branch. I am ready to take education loan if needed.,Higher Studies First
My communication and confidence is low. I freeze in interviews. First I need to work on soft skills and real experience.,Skill Development First
After my mother's death I feel empty. Career decisions feel meaningless right now. I need counseling.,Emotional Counseling Needed
I am a student from Delhi and in just graduated from MIT WPU in Delhi. My father lost his job two months ago due to layoffs. Family is under huge financial pressure. I feel I should start earning immediately instead of doing MBA or higher studies.,Job First (Financial Stability)
